address,bbl,bldg_class,class_a_units,former_hotel_name,closure_year,post_2021,confidence,notes
320 PEARL STREET,,H3,65,Hampton Inn Manhattan-Seaport,2023,YES,HIGH,"Sold Dec 2023 to Slate Property Group for $24.1M. Hotel closed prior to sale. Built 2002 by Sam Chang."
130 EAST 39 STREET,,H1,203,"W New York - The Court / St. Giles The Court",2020,UNCLEAR,MEDIUM,"Former W hotel taken over by St. Giles in 2010. Closed during pandemic (~2020). Sold for $50M (Jan 2023). Now migrant shelter. Closure was likely 2020 but 203 Class A units suggest long-standing residential component."
149 EAST 39 STREET,,HS,123,Murray Hill East Suites,STILL_OPERATING,NO,HIGH,"Still operating as Murray Hill East Suites (extended stay). HPD shows 123 Class A units but hotel is active on Booking.com. Likely a data classification issue - not actually converted."
50 BOWERY,,H9,6,Hotel 50 Bowery (JdV by Hyatt),STILL_OPERATING,NO,HIGH,"Still operating as Hotel 50 Bowery, JdV by Hyatt. Opened 2017. 6 Class A units likely staff/super apartments. Not a conversion."
319 WEST 35 STREET,,H1,16,NEW CONSTRUCTION,N/A,NO,HIGH,"New 25-story 166-room hotel under construction (Peter Poon Architects). Original 5-story 1900 building demolished. Not a conversion."
131 WEST 23 STREET,,H3,12,Unknown,UNKNOWN,UNCLEAR,LOW,"5-story 1925 building. H3 class with 12 Class A units. Part of development assemblage (123-131 W 23rd). No clear hotel history found."
128 WEST 47 STREET,,H3,34,Unknown,UNKNOWN,UNCLEAR,LOW,"No specific hotel history found in web searches. Located in Times Square hotel district."
305 WEST END AVENUE,,H6,171,Hotel Esplanade / The Esplanade,1993,NO,HIGH,"Converted from hotel to senior residence in 1993 by Scharf. Sold to Northwind Group in 2016 for $150M. Now senior housing. Pre-2021 by decades."
117 WEST 79 STREET,,H6,78,Park 79 Hotel (SRO),2016,NO,HIGH,"Former SRO/illegal hotel. Purchased by Fairstead Capital in 2016. Converted to affordable senior housing (Project FIND). Opened 2023 as 77-unit senior affordable. Conversion started pre-2021."
666 WEST END AVENUE,,H6,355,Hotel Windermere,1970s,NO,HIGH,"Originally 1927 residential hotel. Became SRO. Converted to 200-unit rental building. Conversion happened decades before 2021."
234 EAST 46 STREET,,HS,96,AKA United Nations,2024,YES,HIGH,"Former AKA extended-stay hotel. Converted to The Perrie condominiums (95 units). Conversion completed ~2024. Post-2021."
240 EAST 51 STREET,,H3,8,Unknown,UNKNOWN,UNCLEAR,LOW,"Small 4-story 1900 building. H3 class with 8 Class A units. No specific hotel history found."
330 EAST 56 STREET,,HS,84,AKA Sutton Place (formerly Sutton Hotel),STILL_OPERATING,NO,HIGH,"Still operating as AKA Sutton Place (extended stay/furnished apartments). Korman Communities bought out BlackRock stake July 2026. Not converted."
1 MITCHELL PLACE,,HS,148,Beekman Tower (Trademark Collection by Wyndham),HYBRID,UNCLEAR,MEDIUM,"Complex history. Converted to 181 rental apartments in 2016 but also still operates as Trademark Collection by Wyndham hotel. Hybrid hotel-residential."
410 EAST 58 STREET,,HS,125,Unknown,UNKNOWN,UNCLEAR,LOW,"No specific hotel history found. HS class with 125 Class A units in Sutton Place area."
415 EAST 57 STREET,,HS,5,Unknown,UNKNOWN,UNCLEAR,LOW,"Small building. HS class with only 5 Class A units. No hotel history found."
345 EAST 60 STREET,,HS,19,Unknown (possibly Eastgate Tower related),UNKNOWN,UNCLEAR,LOW,"HS class. Near Eastgate Tower area but Eastgate Tower is at 222 E 39th St. No definitive hotel history found."
347 EAST 60 STREET,,HS,16,Unknown,UNKNOWN,UNCLEAR,LOW,"HS class with 16 Class A units. No hotel history found."
349 EAST 60 STREET,,HS,10,Unknown,UNKNOWN,UNCLEAR,LOW,"HS class with 10 Class A units. No hotel history found."
1097 1 AVENUE,,HS,16,Unknown,UNKNOWN,UNCLEAR,LOW,"HS class with 16 Class A units near E 60th St. No hotel history found."
1099 1 AVENUE,,HS,18,Unknown,UNKNOWN,UNCLEAR,LOW,"HS class with 18 Class A units near E 60th St. No hotel history found."
1101 1 AVENUE,,HS,17,Unknown,UNKNOWN,UNCLEAR,LOW,"HS class with 17 Class A units near E 60th St. No hotel history found."
1103 1 AVENUE,,HS,16,Unknown,UNKNOWN,UNCLEAR,LOW,"HS class with 16 Class A units near E 60th St. No hotel history found."
341 EAST 62 STREET,,H9,15,Unknown,HYBRID,UNCLEAR,MEDIUM,"H9 class. Appears to operate as both residential rental and short-term rental. Mixed-use. 17 units."
325 EAST 104 STREET,,H9,97,Unknown,UNKNOWN,UNCLEAR,LOW,"H9 miscellaneous hotel in East Harlem. 5-story 1910 building. Heat/hot water issues since 2021. Owner Joel Shafran."
850 WEST END AVENUE,,HH,89,Unknown,UNKNOWN,UNCLEAR,LOW,"6-story 1930 building. Now appears to be student housing. HH class with 89 Class A units. No clear hotel history found."
99 SUTTON STREET,,HS,31,Unknown,UNKNOWN,UNCLEAR,LOW,"HS class with 31 Class A units. No specific property found at this address - may be Sutton Place area."
